name,manaCost,cmc,colors,colorIdentity,type,types,subtypes,rarity,set,setName,text,artist,number,power,toughness,layout,multiverseid,imageUrl,printings,originalText,originalType,id
Curious Killbot,{2},2,,,Artifact Creature — Killbot,Artifact,Killbot,Common,UST,Unstable,,Alex Konstad,145,2,1,normal,439534,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439534&type=card,UST,,Artifact Creature — Killbot,a48a1c8acd377f492275b36064d8a274c8e07564
Delighted Killbot,{2},2,,,Artifact Creature — Killbot,Artifact,Killbot,Common,UST,Unstable,,Alex Konstad,145,2,1,normal,439655,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439655&type=card,UST,,Artifact Creature — Killbot,7b08119e595f0a3ec9ba0fad68d3070768c1ef9b
Despondent Killbot,{2},2,,,Artifact Creature — Killbot,Artifact,Killbot,Common,UST,Unstable,,Alex Konstad,145,2,1,normal,439656,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439656&type=card,UST,,Artifact Creature — Killbot,684058fd1fa37b544bc585aa7ad9146e978cf2ba
Enraged Killbot,{2},2,,,Artifact Creature — Killbot,Artifact,Killbot,Common,UST,Unstable,,Alex Konstad,145,2,1,normal,439657,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439657&type=card,UST,,Artifact Creature — Killbot,e4413edf1201ffbc9805f17d3ffc9ce576aa4e65
Entirely Normal Armchair,,0,,,Artifact,Artifact,,Uncommon,UST,Unstable,"During your turn, if Entirely Normal Armchair is in your hand, you may hide it on the battlefield.
{0}: Return Entirely Normal Armchair to its owner's hand. Only any opponent may activate this ability and only if he or she sees Entirely Normal Armchair.
{2}, Sacrifice Entirely Normal Armchair: Destroy target attacking creature.",Tom Babbey,146,,,normal,439535,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439535&type=card,UST,"During your turn, if Entirely Normal Armchair is in your hand, you may hide it on the battlefield.
{0}: Return Entirely Normal Armchair to its owner's hand. Only any opponent may activate this ability and only if he or she sees Entirely Normal Armchair.
{2}, Sacrifice Entirely Normal Armchair: Destroy target attacking creature.",Artifact,3de1418ac06337c2c488850a7673d803a5a433a6
Everythingamajig (a),{5},5,,,Artifact,Artifact,,Rare,UST,Unstable,"{2}, {T}: Move a counter from one permanent onto another. If the second permanent refers to any kind of counter, the moved counter becomes one of those counters. Otherwise, it becomes a +1/+1 counter.
{3}, {T}: Put a +1/+1 counter on target creature.
{4}, {T}: Proliferate. (You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there.)",Chris Seaman,147,,,normal,439536,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439536&type=card,UST,"{2}, {T}: Move a counter from one permanent onto another. If the second permanent refers to any kind of counter, the moved counter becomes one of those counters. Otherwise, it becomes a +1/+1 counter.
{3}, {T}: Put a +1/+1 counter on target creature.
{4}, {T}: Proliferate. (You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there.)",Artifact,8ca22f24bc03a2555804c7de446a7de861d34d21
Everythingamajig (b),{5},5,,,Artifact,Artifact,,Rare,UST,Unstable,"{2}, {T}: Draw a card. Activate this ability only if you have no cards in hand.
{8}, {T}: You gain 10 life.
{4}, {T}, Sacrifice Everythingamajig: You may put a silver-bordered permanent card from your hand onto the battlefield.",Chris Seaman,147,,,normal,439640,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439640&type=card,UST,"{2}, {T}: Draw a card. Activate this ability only if you have no cards in hand.
{8}, {T}: You gain 10 life.
{4}, {T}, Sacrifice Everythingamajig: You may put a silver-bordered permanent card from your hand onto the battlefield.",Artifact,041aeba59de183e0abc3711bc969ea4869188025
Everythingamajig (c),{5},5,,,Artifact,Artifact,,Rare,UST,Unstable,"{1}: Flip a coin. If you win the flip, add {C}{C} to your mana pool. Activate this ability only any time you could cast an instant.
{3}, {T}: Target player discards a card. Activate this ability only during your turn.
{X}: Everythingamajig becomes an X/X Construct artifact creature until end of turn.",Chris Seaman,147,,,normal,439641,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439641&type=card,UST,"{1}: Flip a coin. If you win the flip, add {C}{C} to your mana pool. Activate this ability only any time you could cast an instant.
{3}, {T}: Target player discards a card. Activate this ability only during your turn.
{X}: Everythingamajig becomes an X/X Construct artifact creature until end of turn.",Artifact,d667b8c6793c162a23315dd0d401a2e495cda4ef
Everythingamajig (d),{6},6,,,Artifact,Artifact,,Rare,UST,Unstable,"{T}: Add one mana of any color to your mana pool.
{1}, {T}: Say the flavor text on a card in your hand. Target opponent guesses that card's name. You may reveal that card. If you do and your opponent guessed wrong, draw a card.
{8}, {T}: Everythingamajig deals 12 damage to target creature.",Chris Seaman,147,,,normal,439642,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439642&type=card,UST,"{T}: Add one mana of any color to your mana pool.
{1}, {T}: Say the flavor text on a card in your hand. Target opponent guesses that card's name. You may reveal that card. If you do and your opponent guessed wrong, draw a card.
{8}, {T}: Everythingamajig deals 12 damage to target creature.",Artifact,a6642db82b2ef3903bf0c515ead493be32854c56
Everythingamajig (e),{5},5,,,Artifact,Artifact,,Rare,UST,Unstable,"Sacrifice a land: You gain 2 life.
Sacrifice a creature: Add {C}{C} to your mana pool.
{2}, Discard a card: Search your library for a card that shares a complete word in its name with the name of the discarded card, reveal it, put it into your hand, then shuffle your library.",Chris Seaman,147,,,normal,439643,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439643&type=card,UST,"Sacrifice a land: You gain 2 life.
Sacrifice a creature: Add {C}{C} to your mana pool.
{2}, Discard a card: Search your library for a card that shares a complete word in its name with the name of the discarded card, reveal it, put it into your hand, then shuffle your library.",Artifact,a61081333ab8779583cb272bf16cbd7fdba359d8
Everythingamajig (f),{8},8,,,Artifact,Artifact,,Rare,UST,Unstable,"{1}, {T}: Scry 2.
{1}, {T}, Pay 1 life: Create a 0/1 white Goat creature token.
{7}, {T}, Sacrifice Everythingamajig: Choose target player. At the beginning of the next end step, exchange life totals with that player, exchange control of all permanents you and that player control, and exchange cards in your hands, cards in your libraries, and cards in your graveyards.",Chris Seaman,147,,,normal,439644,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439644&type=card,UST,"{1}, {T}: Scry 2.
{1}, {T}, Pay 1 life: Create a 0/1 white Goat creature token.
{7}, {T}, Sacrifice Everythingamajig: Choose target player. At the beginning of the next end step, exchange life totals with that player, exchange control of all permanents you and that player control, and exchange cards in your hands, cards in your libraries, and cards in your graveyards.",Artifact,056420bf24b637df1b27539549b9084bd4f119ee
Gnome-Made Engine,{4},4,,,Artifact Host Creature — Construct,Artifact,Construct,Common,UST,Unstable,"When this creature enters the battlefield, create a 1/1 colorless Gnome artifact creature token.",Sean Murray,148,2,2,normal,439537,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439537&type=card,UST,"When this creature enters the battlefield, create a 1/1 colorless Gnome artifact creature token.",Artifact Host Creature — Construct,37a698716207213e7f6112cf265366805f4f309d
Handy Dandy Clone Machine,{3},3,,,Artifact,Artifact,,Rare,UST,Unstable,"{2}, {T}: Create a 2/2 colorless Homunculus creature token. It must be represented by a unique hand and two fingers at all times, or it ceases to exist.",Mike Burns,149,,,normal,439538,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439538&type=card,UST,"{2}, {T}: Create a 2/2 colorless Homunculus creature token. It must be represented by a unique hand and two fingers at all times, or it ceases to exist.",Artifact,ea4f5833db494ab3e2afbd7e89e31ff7ad461f07
Kindslaver,{5},5,,,Legendary Artifact,Artifact,,Rare,UST,Unstable,"{5}, {T}, Sacrifice Kindslaver: A person outside the game controls target player during that player's next turn. Neither player may advise that person until the end of that turn.",Zoltan Boros,150,,,normal,439539,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439539&type=card,UST,"{5}, {T}, Sacrifice Kindslaver: A person outside the game controls target player during that player's next turn. Neither player may advise that person until the end of that turn.",Legendary Artifact,d67440091d9f6c427940f91b398993f8d8a5f9f7
Krark's Other Thumb,{2},2,,,Legendary Artifact,Artifact,,Uncommon,UST,Unstable,"If you would roll a die, instead roll two of those dice and ignore one of those results.",Jeff Miracola,151,,,normal,439540,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439540&type=card,UST,"If you would roll a die, instead roll two of those dice and ignore one of those results.",Legendary Artifact,a9f95ef6c103e02e751fc7b7209f11940b689e66
Labro Bot,{5},5,,,Artifact Host Creature — Hound,Artifact,Hound,Uncommon,UST,Unstable,"When this creature enters the battlefield, return target host card or card with augment from your graveyard to your hand.",Carl Critchlow,152,3,3,normal,439541,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439541&type=card,UST,"When this creature enters the battlefield, return target host card or card with augment from your graveyard to your hand.",Artifact Host Creature — Hound,168e1103bde66ae444e1e83049ac75261d4c557e
Lobe Lobber,{2},2,,,Artifact — Equipment,Artifact,Equipment,Uncommon,UST,Unstable,"Equipped creature has ""{T}: This creature deals 1 damage to target player. Roll a six-sided die. On a 5 or higher, untap it.""
Equip {2}",Dmitry Burmak,153,,,normal,439542,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439542&type=card,UST,"Equipped creature has ""{T}: This creature deals 1 damage to target player. Roll a six-sided die. On a 5 or higher, untap it.""
Equip {2}",Artifact — Equipment,199ff0e0b78e83ce343a58a7f441c6dd37b1a94a
Mad Science Fair Project,{3},3,,,Artifact,Artifact,,Common,UST,Unstable,"{T}: Roll a six-sided die. On a 3 or lower,
target player adds oC to his or her mana
pool. Otherwise, that player adds one
mana of any color he or she chooses to
his or her mana pool.",Carl Frank,154,,,normal,439543,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439543&type=card,UST,"{T}: Roll a six-sided die. On a 3 or lower,
target player adds oC to his or her mana
pool. Otherwise, that player adds one
mana of any color he or she chooses to
his or her mana pool.",Artifact,3945f06d069cce828a2635550b2bcf597d9ae94e
Modular Monstrosity,{7},7,,,Artifact Creature — Construct,Artifact,Construct,Rare,UST,Unstable,"Whenever an opponent casts a spell, you have five seconds to choose a keyword you haven't chosen for a card named Modular Monstrosity today that's been printed on a creature card. If you do, Modular Monstrosity gains that ability. Otherwise, Modular Monstrosity loses all keyword abilities.",Alex Konstad,155,3,3,normal,439544,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439544&type=card,UST,"Whenever an opponent casts a spell, you have five seconds to choose a keyword you haven't chosen for a card named Modular Monstrosity today that's been printed on a creature card. If you do, Modular Monstrosity gains that ability. Otherwise, Modular Monstrosity loses all keyword abilities.",Artifact Creature — Construct,37e79552ae1dae5ff05f69b5966d381010d6dc4e
Proper Laboratory Attire,{1},1,,,Artifact — Equipment,Artifact,Equipment,Uncommon,UST,Unstable,"Equipped creature gets +2/+1 and has protection from die rolls. (Nothing that lets a player roll a die can block, target, deal damage to, or attach to equipped creature.)
Equip {2}",Tom Babbey,156,,,normal,439545,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439545&type=card,UST,"Equipped creature gets +2/+1 and has protection from die rolls. (Nothing that lets a player roll a die can block, target, deal damage to, or attach to equipped creature.)
Equip {2}",Artifact — Equipment,8f43bde7f2d2eb6c6f3b7cc4a4285794f93745f2
Robo-,,0,,,Artifact Creature — Construct,Artifact,Construct,Uncommon,UST,Unstable,"At the beginning of each end step, if an artifact entered the battlefield under your control this turn,
Augment {2} ({2}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",Matt Dixon,157,+1,+1,normal,439546,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439546&type=card,UST,"At the beginning of each end step, if an artifact entered the battlefield under your control this turn,
Augment {2} ({2}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",Artifact Creature — Construct,357d68bb8afd1603ececfca3d69322ef0b4ed986
Split Screen,{4},4,,,Artifact,Artifact,,Rare,UST,Unstable,"When Split Screen enters the battlefield, shuffle your library and deal it into four libraries. If anything refers to your library, choose one of your libraries for it.
Play with your libraries' top cards revealed.
When Split Screen leaves the battlefield, shuffle your libraries together.",Simon Dominic,158,,,normal,439547,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439547&type=card,UST,"When Split Screen enters the battlefield, shuffle your library and deal it into four libraries. If anything refers to your library, choose one of your libraries for it.
Play with your libraries' top cards revealed.
When Split Screen leaves the battlefield, shuffle your libraries together.",Artifact,9e94d05f0b4d76ed5385f9c175e8440549c4e8d8
Staff of the Letter Magus,{3},3,,,Artifact,Artifact,,Uncommon,UST,Unstable,"As Staff of the Letter Magus enters the battlefield, choose a consonant other than N, R, S, or T.
Whenever a player casts a spell, you gain 1 life for each time the chosen letter appears in that spell's name.",Daniel Ljunggren,159,,,normal,439548,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439548&type=card,UST,"As Staff of the Letter Magus enters the battlefield, choose a consonant other than N, R, S, or T.
Whenever a player casts a spell, you gain 1 life for each time the chosen letter appears in that spell's name.",Artifact,4ef7ea7de5f6985f55fdc0568eb65e0a45448b5e
Stamp of Approval,{3},3,,,Artifact,Artifact,,Uncommon,UST,Unstable,"As Stamp of Approval enters the battlefield, choose a watermark.
Creatures you control with the chosen watermark get +1/+1.",Zoltan Boros,160,,,normal,439549,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439549&type=card,UST,"As Stamp of Approval enters the battlefield, choose a watermark.
Creatures you control with the chosen watermark get +1/+1.",Artifact,7f72f7830f750a3e8b6de78cc357ad10bd985832
Steam-Powered,,0,,,Artifact Creature — Construct,Artifact,Construct,Uncommon,UST,Unstable,"{5}:
Augment {4} ({4}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",Carl Critchlow,161,+0,+4,normal,439550,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439550&type=card,UST,"{5}:
Augment {4} ({4}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",Artifact Creature — Construct,5fbdc708fa987186b43fc9cc560c6a914d3a2ef5
Steel Squirrel,{2},2,,,Artifact Creature — Squirrel,Artifact,Squirrel,Uncommon,UST,Unstable,"Whenever you roll a 5 or higher on a die, Steel Squirrel gets +X/+X until end of turn, where X is the result.
{6}: Roll a six-sided die.",Carl Critchlow,162,1,1,normal,439551,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439551&type=card,UST,"Whenever you roll a 5 or higher on a die, Steel Squirrel gets +X/+X until end of turn, where X is the result.
{6}: Roll a six-sided die.",Artifact Creature — Squirrel,235fed54f2b1a5e2cec9d08e264e3e828ab5eeca
Sword of Dungeons & Dragons,{3},3,,,Artifact — Equipment,Artifact,Equipment,Mythic Rare,UST,Unstable,"Equipped creature gets +2/+2 and has protection from Rogues and from Clerics.
Whenever equipped creature deals combat damage to a player, create a 4/4 gold Dragon creature token with flying and roll a d20 (a twenty-sided die). If you roll a 20, repeat this process.
Equip {2}",Chris Rahn,163,,,normal,439552,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439552&type=card,UST,"Equipped creature gets +2/+2 and has protection from Rogues and from Clerics.
Whenever equipped creature deals combat damage to a player, create a 4/4 gold Dragon creature token with flying and roll a d20 (a twenty-sided die). If you roll a 20, repeat this process.
Equip {2}",Artifact — Equipment,16b6ae18f9d44b3933dcf94958fce4a8a7f9937d
Voracious Vacuum,{3},3,,,Artifact Host Creature — Construct,Artifact,Construct,Common,UST,Unstable,"When this creature enters the battlefield, put a +1/+1 counter on target creature.",Matt Dixon,164,1,1,normal,439553,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439553&type=card,UST,"When this creature enters the battlefield, put a +1/+1 counter on target creature.",Artifact Host Creature — Construct,968b0d189a3c10a3a72efdb7b37b195226963542
Secret Base,,0,,,Land,Land,,Common,UST,Unstable,"{T}: Add {C} to your mana pool.
{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a spell that shares a watermark with Secret Base.",Matt Gaser,165,,,normal,439554,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439554&type=card,UST,"{T}: Add {C} to your mana pool.
{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a spell that shares a watermark with Secret Base.",Land,8559dbb13999ebe1dedd73df335c1e3a7a5cb82c
Secret Base,,0,,,Land,Land,,Common,UST,Unstable,"{T}: Add {C} to your mana pool.
{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a spell that shares a watermark with Secret Base.",John Thacker,165,,,normal,439606,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439606&type=card,UST,"{T}: Add {C} to your mana pool.
{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a spell that shares a watermark with Secret Base.",Land,d9b9d23724fcb63c1640a52d139febfbabc8bf35
Secret Base,,0,,,Land,Land,,Common,UST,Unstable,"{T}: Add {C} to your mana pool.
{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a spell that shares a watermark with Secret Base.",Seb McKinnon,165,,,normal,439607,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439607&type=card,UST,"{T}: Add {C} to your mana pool.
{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a spell that shares a watermark with Secret Base.",Land,7901ed980cb6d79891abc735112d379b13040fe1
Secret Base,,0,,,Land,Land,,Common,UST,Unstable,"{T}: Add {C} to your mana pool.
{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a spell that shares a watermark with Secret Base.",Dave Allsop,165,,,normal,439608,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439608&type=card,UST,"{T}: Add {C} to your mana pool.
{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a spell that shares a watermark with Secret Base.",Land,4d05cc8f1841d29078c3808f175ea1f1bbe1faa5
Secret Base,,0,,,Land,Land,,Common,UST,Unstable,"{T}: Add {C} to your mana pool.
{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a spell that shares a watermark with Secret Base.",Simon Dominic,165,,,normal,439609,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439609&type=card,UST,"{T}: Add {C} to your mana pool.
{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a spell that shares a watermark with Secret Base.",Land,169fec29748aa5f149a22852f0021b9eaa7f1155
Watermarket,,0,,,Land,Land,,Rare,UST,Unstable,{T}: Add {C}{C} to your mana pool. Spend this mana only to cast spells with watermarks.,Simon Dominic,166,,,normal,439555,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439555&type=card,UST,{T}: Add {C}{C} to your mana pool. Spend this mana only to cast spells with watermarks.,Land,2f9b2d42e65df39092dae0bafa48ab29b9cbf140
Accessories to Murder,,0,,,Artifact — Contraption,Artifact,Contraption,Uncommon,UST,Unstable,"Whenever you crank Accessories to Murder, target creature gets +X/+0 until end of turn, where X is the number of creatures you control.",Ralph Horsley,167,,,normal,439556,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439556&type=card,UST,"Whenever you crank Accessories to Murder, target creature gets +X/+0 until end of turn, where X is the number of creatures you control.",Artifact — Contraption,2265c9e282460835b64ada8256b3a185e4b3a79d
Applied Aeronautics,,0,,,Artifact — Contraption,Artifact,Contraption,Common,UST,Unstable,"Whenever you crank Applied Aeronautics, until end of turn, target creature gets +1/+0, gains flying, and becomes an artifact in addition to its other types.",Jason Felix,168,,,normal,439557,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439557&type=card,UST,"Whenever you crank Applied Aeronautics, until end of turn, target creature gets +1/+0, gains flying, and becomes an artifact in addition to its other types.",Artifact — Contraption,041ad3ed79b514e436227bc85c88a7d64c18051a
Arms Depot,,0,,,Artifact — Contraption,Artifact,Contraption,Uncommon,UST,Unstable,"Whenever you crank Arms Depot, put two +1/+1 counters on target creature.",Chuck Lukacs,169,,,normal,439558,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439558&type=card,UST,"Whenever you crank Arms Depot, put two +1/+1 counters on target creature.",Artifact — Contraption,c3bde661357bf81b6f5d6a6e8abeed3cd6041e16
Auto-Key,,0,,,Artifact — Contraption,Artifact,Contraption,Common,UST,Unstable,"Whenever you crank Auto-Key, until end of turn, target creature becomes an artifact in addition to its other types and gains ""{T}: You gain 3 life.""",Jason Felix,170,,,normal,439559,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439559&type=card,UST,"Whenever you crank Auto-Key, until end of turn, target creature becomes an artifact in addition to its other types and gains ""{T}: You gain 3 life.""",Artifact — Contraption,68e47c298b1ce72d89f0c99bc7228f9f16334a72
Bee-Bee Gun,,0,,,Artifact — Contraption,Artifact,Contraption,Mythic Rare,UST,Unstable,"Whenever you crank Bee-Bee Gun, until end of turn, target creature gains ""{2}: This creature fights another target creature.""",Chuck Lukacs,171,,,normal,439560,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439560&type=card,UST,"Whenever you crank Bee-Bee Gun, until end of turn, target creature gains ""{2}: This creature fights another target creature.""",Artifact — Contraption,89a4c40c5e80ffd2deff8c1188e62ae5c03fc133
Boomflinger,,0,,,Artifact — Contraption,Artifact,Contraption,Common,UST,Unstable,"Whenever you crank Boomflinger, roll two six-sided dice. Boomflinger deals damage to target player equal to the difference between those results.",Steve Prescott,172,,,normal,439561,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439561&type=card,UST,"Whenever you crank Boomflinger, roll two six-sided dice. Boomflinger deals damage to target player equal to the difference between those results.",Artifact — Contraption,365357f14dd2aa09babb7667cda71fe45f8f6b23
Buzz Buggy,,0,,,Artifact — Contraption,Artifact,Contraption,Common,UST,Unstable,"Whenever you crank Buzz Buggy, target creature gets +2/+0 and gains trample until end of turn.",Steve Prescott,173,,,normal,439562,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439562&type=card,UST,"Whenever you crank Buzz Buggy, target creature gets +2/+0 and gains trample until end of turn.",Artifact — Contraption,64ccfb31fa7d36b33877c2459bdc4d0f9b3143fb
Deadly Poison Sampler,,0,,,Artifact — Contraption,Artifact,Contraption,Rare,UST,Unstable,"Whenever you crank Deadly Poison Sampler, until end of turn, target creature gains ""Whenever this creature deals combat damage to a player, destroy target creature that player controls.""",Ralph Horsley,174,,,normal,439563,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439563&type=card,UST,"Whenever you crank Deadly Poison Sampler, until end of turn, target creature gains ""Whenever this creature deals combat damage to a player, destroy target creature that player controls.""",Artifact — Contraption,b83a64b6fcdb1d3a8aa69272db90c5a9d78707ed
Dictation Quillograph,,0,,,Artifact — Contraption,Artifact,Contraption,Common,UST,Unstable,"Whenever you crank Dictation Quillograph, until end of turn, target creature gains ""Whenever this creature deals combat damage to a player, you may draw a card. If you do, discard a card.""",Ralph Horsley,175,,,normal,439564,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439564&type=card,UST,"Whenever you crank Dictation Quillograph, until end of turn, target creature gains ""Whenever this creature deals combat damage to a player, you may draw a card. If you do, discard a card.""",Artifact — Contraption,a1bc419cba15a1648ae375ce2ee9e507b12ef5d2
Dispatch Dispensary,,0,,,Artifact — Contraption,Artifact,Contraption,Uncommon,UST,Unstable,"Whenever you crank Dispatch Dispensary, create a 2/2 black Rogue creature token with menace.",Ralph Horsley,176,,,normal,439565,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439565&type=card,UST,"Whenever you crank Dispatch Dispensary, create a 2/2 black Rogue creature token with menace.",Artifact — Contraption,7cbfd6afdcc211c44c7b5d611d5630bf3ea60d97
Division Table,,0,,,Artifact — Contraption,Artifact,Contraption,Common,UST,Unstable,"Whenever you crank Division Table, target player loses 2 life.",Franz Vohwinkel,177,,,normal,439566,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439566&type=card,UST,"Whenever you crank Division Table, target player loses 2 life.",Artifact — Contraption,bb61f608e45580e7030c6df20785ab4532c5e5cc
Dogsnail Engine,,0,,,Artifact — Contraption,Artifact,Contraption,Uncommon,UST,Unstable,"Whenever you crank Dogsnail Engine, target player gains life equal to the greatest power among creatures you control.",Chuck Lukacs,178,,,normal,439567,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439567&type=card,UST,"Whenever you crank Dogsnail Engine, target player gains life equal to the greatest power among creatures you control.",Artifact — Contraption,ad41b1c8bf220e1ec6f925147709d4faa3dd700f
Dual Doomsuits,,0,,,Artifact — Contraption,Artifact,Contraption,Rare,UST,Unstable,"Whenever you crank Dual Doomsuits, each time a source you control would deal damage this turn, it deals double that damage instead.",Franz Vohwinkel,179,,,normal,439568,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439568&type=card,UST,"Whenever you crank Dual Doomsuits, each time a source you control would deal damage this turn, it deals double that damage instead.",Artifact — Contraption,959865fb83edc39c92266332e8108d2909876884
Duplication Device,,0,,,Artifact — Contraption,Artifact,Contraption,Rare,UST,Unstable,"Whenever you crank Duplication Device, until end of turn, target creature becomes a copy of any creature on the battlefield, except it's an artifact in addition to its other types.",Jason Felix,180,,,normal,439569,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439569&type=card,UST,"Whenever you crank Duplication Device, until end of turn, target creature becomes a copy of any creature on the battlefield, except it's an artifact in addition to its other types.",Artifact — Contraption,c229d2102e98e23375146b6d041d907088476e7b
Faerie Aerie,,0,,,Artifact — Contraption,Artifact,Contraption,Mythic Rare,UST,Unstable,"Whenever you crank Faerie Aerie, create two 1/1 blue Faerie Spy creature tokens with flying, haste, and ""Whenever this creature deals combat damage to a player, draw a card."" Exile them at the beginning of the next end step.",Ralph Horsley,181,,,normal,439570,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439570&type=card,UST,"Whenever you crank Faerie Aerie, create two 1/1 blue Faerie Spy creature tokens with flying, haste, and ""Whenever this creature deals combat damage to a player, draw a card."" Exile them at the beginning of the next end step.",Artifact — Contraption,45fa68a6897c4d176766cfea6cb86f38230a4900
Genetic Recombinator,,0,,,Artifact — Contraption,Artifact,Contraption,Uncommon,UST,Unstable,"Whenever you crank Genetic Recombinator, up to two target creatures each get +2/+2 until end of turn.",Chuck Lukacs,182,,,normal,439571,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439571&type=card,UST,"Whenever you crank Genetic Recombinator, up to two target creatures each get +2/+2 until end of turn.",Artifact — Contraption,11a34de031d88abeb4d5b85092fca2aac1315685
Gift Horse,,0,,,Artifact — Contraption,Artifact,Contraption,Rare,UST,Unstable,"Whenever you crank Gift Horse, roll two six-sided dice. Create a number of 1/1 red Goblin creature tokens equal to the difference between those results.",Steve Prescott,183,,,normal,439572,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439572&type=card,UST,"Whenever you crank Gift Horse, roll two six-sided dice. Create a number of 1/1 red Goblin creature tokens equal to the difference between those results.",Artifact — Contraption,3286a006834fc79c1fe792ca28cd03951c0f695f
Gnomeball Machine,,0,,,Artifact — Contraption,Artifact,Contraption,Uncommon,UST,Unstable,"Whenever you crank Gnomeball Machine, create two 1/1 colorless Gnome artifact creature tokens.",Jason Felix,184,,,normal,439573,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439573&type=card,UST,"Whenever you crank Gnomeball Machine, create two 1/1 colorless Gnome artifact creature tokens.",Artifact — Contraption,5b5e87aa5bfdb98195d231ec6571ba1782ef717a
Goblin Slingshot,,0,,,Artifact — Contraption,Artifact,Contraption,Rare,UST,Unstable,"Whenever you crank Goblin Slingshot, creatures you control get +2/+0 and gain trample until end of turn.",Steve Prescott,185,,,normal,439574,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439574&type=card,UST,"Whenever you crank Goblin Slingshot, creatures you control get +2/+0 and gain trample until end of turn.",Artifact — Contraption,bb340eb8e2a983cc704f21db5d7b8fffb5d3dc51
